RollVelocity , FinalVel2
0 , -nan
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
-0.73839 , -0.274592
-0.73839 , -0.274315
-0.73839 , -0.275012
-0.73839 , -0.273055
-0.73839 , -0.27316
-0.613659 , -0.131034
-0.613659 , -0.12962
-0.613659 , -0.134161
-0.613659 , -0.130597
-0.613659 , -0.10571
-0.429622 , 0.0548412
-0.429622 , 0.0553378
-0.429622 , 0.0566775
-0.429622 , 0.0579827
-0.429622 , 0.0611553
-0.307101 , 0.168988
-0.307101 , 0.16984
-0.307101 , 0.170226
-0.307101 , 0.167718
-0.307101 , 0.16739
-0.307101 , 0.1673
-0.15355 , 0.282743
-0.15355 , 0.283491
-0.15355 , 0.308695
-0.15355 , 0.309301
-0.0412409 , 0.388419
-0.0412409 , 0.38641
-0.0412409 , 0.460492
-0.0412409 , 0.461101
-0.0412409 , 0.461997
0.102598 , 0.543006
0.102598 , 0.544329
0.102598 , 0.612643
0.102598 , 0.610276
0.102598 , 0.609721
0.250701 , 0.683258
0.250701 , 0.941601
0.250701 , 0.94106
0.250701 , 0.942568
0.250701 , 0.944077
0.401516 , 1.16806
0.401516 , 1.17111
0.401516 , 1.16877
0.401516 , 1.1676
0.401516 , 1.16968
0.623498 , 1.25356
0.623498 , 1.25294
0.623498 , 1.25358
0.623498 , 1.254
0.623498 , 1.50503
0.862803 , 1.5758
0.862803 , 1.57841
0.862803 , 1.57396
0.862803 , 1.60612
0.862803 , 1.60769
1.07789 , 1.63687
1.07789 , 1.63708
1.07789 , 1.6382
1.07789 , 1.7211
1.07789 , 1.71697
1.30971 , 1.73928
1.30971 , 1.73868
1.30971 , 1.82257
1.30971 , 1.82262
1.30971 , 1.8211
1.49548 , 1.79691
1.49548 , 1.79726
1.49548 , 1.69194
1.49548 , 1.69097
1.49548 , 1.69167
1.62132 , 1.60923
1.62132 , 1.52754
1.62132 , 1.52708
1.62132 , 1.52713
1.62132 , 1.52711
1.68617 , -1.28894
1.68617 , -1.2907
1.68617 , -1.28979
1.68617 , -1.28866
1.68617 , -0.114005
1.48735 , -0.392626
1.48735 , -0.385181
1.48735 , -0.388926
1.48735 , -0.390932
1.48735 , 0.0785694
0.590557 , -0.555639
0.590557 , -0.558399
0.590557 , -0.559411
0.590557 , -0.369896
0.590557 , -0.370102
0.122689 , -0.68799
0.122689 , -0.686294
0.122689 , -0.688395
0.122689 , -0.609493
0.122689 , -0.611311
-0.163655 , -0.780862
-0.163655 , -0.780378
-0.163655 , -1.26226
-0.163655 , -1.26305
-0.163655 , -1.2649
-0.365232 , -1.35833
-0.365232 , -1.36058
-0.365232 , -0.645602
-0.365232 , -0.644729
-0.365232 , -0.645622
-0.690983 , -0.785486
-0.690983 , -0.893301
-0.690983 , -0.893762
-0.690983 , -0.893786
-0.690983 , -0.893747
-0.822094 , -1.43854
-0.822094 , -1.43829
-0.822094 , -1.43701
-0.822094 , -1.43835
-0.822094 , -1.43885
-0.856516 , -0.713684
-0.856516 , -0.713812
-0.856516 , -0.713882
-0.856516 , -0.713532
-0.856516 , -0.829809
-1.04854 , -0.841993
-1.04854 , -0.842463
-1.04854 , -0.842424
-1.04854 , -0.842238
-1.04854 , -0.888577
-0.957137 , -0.739888
-0.957137 , -0.738513
-0.957137 , -0.737201
-0.957137 , -0.75793
-0.957137 , -0.757071
-0.903771 , -0.631969
-0.903771 , -0.631866
-0.903771 , -0.631269
-0.903771 , -0.639714
-0.903771 , -0.639399
-0.814269 , -0.502413
-0.814269 , -0.501602
-0.814269 , -0.505235
-0.814269 , -0.506126
-0.814269 , -0.505508
-0.720639 , -0.37422
-0.720639 , -0.372379
-0.720639 , -0.377547
-0.720639 , -0.375754
-0.720639 , -0.375787
-0.631299 , -0.25412
-0.631299 , -0.254263
-0.631299 , -0.254146
