RollVelocity , FinalVel2
0 , -nan
3.19077e-22 , -0.0108196
1.59538e-22 , -0.010823
1.59538e-22 , -0.0108281
1.59538e-22 , -0.0108284
1.59538e-22 , -0.0108175
1.59538e-22 , -0.0108315
7.97692e-23 , -0.0108433
7.97692e-23 , -0.0108077
7.97692e-23 , -0.0108304
7.97692e-23 , -0.0108142
7.97692e-23 , -0.0108304
3.98846e-23 , -0.010849
3.98846e-23 , -0.0108075
3.98846e-23 , -0.0108121
3.98846e-23 , -0.0108433
3.98846e-23 , -0.0108253
1.99423e-23 , -0.0108108
1.99423e-23 , -0.010824
1.99423e-23 , -0.0108186
1.99423e-23 , -0.0108369
1.99423e-23 , -0.0108284
9.97115e-24 , -0.0108315
9.97115e-24 , -0.0108044
9.97115e-24 , -0.010825
9.97115e-24 , -0.0108446
9.97115e-24 , -0.0108217
4.98558e-24 , -0.0108433
4.98558e-24 , -0.0108165
4.98558e-24 , -0.0108033
4.98558e-24 , -0.010824
4.98558e-24 , -0.0108271
2.49279e-24 , -0.010823
2.49279e-24 , -0.0108338
2.49279e-24 , -0.0108227
2.49279e-24 , -0.010824
2.49279e-24 , -0.0108219
1.24639e-24 , -0.0108325
1.24639e-24 , -0.0108359
1.24639e-24 , -0.0108392
1.24639e-24 , -0.010799
1.24639e-24 , -0.0108131
6.23197e-25 , -0.0108294
6.23197e-25 , -0.0108271
6.23197e-25 , -0.0108294
6.23197e-25 , -0.0108175
6.23197e-25 , -0.0108227
3.11599e-25 , -0.0108284
3.11599e-25 , -0.0108359
3.11599e-25 , -0.0108121
3.11599e-25 , -0.010825
3.11599e-25 , -0.0108271
1.55799e-25 , -0.0108379
1.55799e-25 , -0.010809
1.55799e-25 , -0.010825
1.55799e-25 , -0.010839
1.55799e-25 , -0.0108098
7.78996e-26 , -0.0108304
7.78996e-26 , -0.0108219
7.78996e-26 , -0.010825
7.78996e-26 , -0.010823
7.78996e-26 , -0.0108281
3.89498e-26 , -0.010823
3.89498e-26 , -0.010824
3.89498e-26 , -0.010839
3.89498e-26 , -0.010825
3.89498e-26 , -0.0108142
1.94749e-26 , -0.010823
1.94749e-26 , -0.0108304
